Estimate,Est Length,Bill No,Item,Height,Stretch,Length,Mbook,Pages,Date
RCC RW (6000 -6500),500,Bill No. 10,PCC,5.1,6253-6288,35,16983,77-78,30-05-25
RCC RW (6000 -6500),500,Bill No. 02,PCC,5.1,6288-6306,18,16983,13-14,29-11-24
RCC RW (6000 -6500),500,Bill No. 01,PCC,5.1,6306-6410,104,16981,13-14,01-10-24
RCC RW (6000 -6500),500,Bill No. 02,PCC,5.1,6410-6457,47,16983,13-14,29-11-24
RCC RW (6000 -6500),500,Bill No. 12,PCC,5.1,6457-6500,43,17170,30-32,26-07-25
RCC RW (6500 - 6775),275,Bill No. 12,PCC,5.9,6500-6547,47,17170,33-34,28-07-25
RCC RW (6500 - 6775),275,Bill No. 14,PCC,5.9,6547-6557,10,17170,65-66,03-10-25
RCC RW (6500 - 6775),275,Bill No. 07,PCC,5.9,6557-6581,24,16982,54-55,13-03-25
RCC RW (6500 - 6775),275,Bill No. 06,PCC,5.9,6581-6593,12,16983,47-48,04-03-25
RCC RW (6500 - 6775),275,Bill No. 04,PCC,5.9,6593-6653,60,16983,35-36,26-01-25
RCC RW (6500 - 6775),275,Bill No. 16,PCC,5.9,6653-6669,16,17165,31-32,27-11-25
RCC RW (6500 - 6775),275,Bill No. 04,PCC,5.9,6669-6741,72,16983,35-36,26-01-25
RCC RW (6500 - 6775),275,Bill No. 01,PCC,5.9,6741-6775,34,16981,9-10,23-09-24
RCC RW (6775 - 7000),225,Bill No. 03,PCC,7.1,6775-6825,50,16981,35-38,03-01-25
RCC RW (6775 - 7000),225,Bill No. 01,PCC,7.1,6825-6850,25,16981,13-14,01-10-24
RCC RW (6775 - 7000),225,Bill No. 03,PCC,7.1,6850-6875,25,16981,35-38,03-01-25
RCC RW (6775 - 7000),225,Bill No. 05,PCC,8.1,6875-6910,35,16981,64-65,10-02-25
RCC RW (6775 - 7000),225,Bill No. 06,PCC,8.1,6910-6936,26,16983,47-48,04-03-25
RCC RW (6775 - 7000),225,Bill No. 07,PCC,8.1,6936-6975,39,16982,54-55,13-03-25
RCC RW (6775 - 7000),225,Bill No. 12,PCC,10,6975-7000,25,17170,33-34,28-07-25
RCC RW (7000-7375),375,Bill No. 12,PCC,10,7000-7036,36,17170,33-34,28-07-25
RCC RW (7000-7375),375,Bill No. 12,PCC,10,7040-7070,30,17170,33-34,28-07-25
RCC RW (7000-7375),375,Bill No. 11,PCC,10,7070-7108,38,17170,07-08,27-06-25
RCC RW (7000-7375),375,Bill No. 11,PCC,8.1,7108-7132,24,17170,07-08,27-06-25
RCC RW (7000-7375),375,Bill No. 03,PCC,5.9,7132-7212,80,16981,35-38,03-01-25
RCC RW (7000-7375),375,Bill No. 01,PCC,5.9,7212-7296,84,16981,9-10,23-09-24
RCC RW (7000-7375),375,Bill No. 01,PCC,5.1,7296-7338,42,16981,9-10,23-09-24
RCC RW (7000-7375),375,Bill No. 01,PCC,5.1,7319-7352,33,16981,13-14,01-10-24
RCC RW (7000-7375),375,Bill No. 07,PCC,5.1,7352-7375,23,16982,54-55,13-03-25
RCC RW (7375-7650) ,275,Bill No. 11,PCC,5.1,7475-7535,60,17170,07-08,27-06-25
RCC RW (7375-7650) ,275,Bill No. 14,PCC,5.1,7535-7601,66,17170,65-66,03-10-25
RCC RW (7375-7650) ,275,Bill No. 11,PCC,5.1,7601-7625,24,17170,07-08,27-06-25
RCC RW (7825-8150),325,Bill No. 09,PCC,5.1,7825-7895,70,16981,83-84,26-04-25
RCC RW (7825-8150),325,Bill No. 09,PCC,5.1,7895-7965,70,16981,80-82,23-04-25
RCC RW (7825-8150),325,Bill No. 10,PCC,5.1,7965-7989,24,16983,77-78,30-05-25
RCC RW (7825-8150),325,Bill No. 09,PCC,5.1,7989-8024,35,16981,83-84,26-04-25
RCC RW (7825-8150),325,Bill No. 10,PCC,5.1,8024-8150,126,16983,75-76,26-05-25
RCC RW (0-280) (mid),280,Bill No. 14,Steel,5,78-114,36,16992,83-87,24-09-25
RCC RW (0-280) (mid),280,Bill No. 13,Steel,5,114-200,86,16992,80-82,02-09-25
RCC RW (0-280) (mid),280,Bill No. 13,Steel,5,200-235,35,16992,80-82,02-09-25
RCC RW (0-280) (mid),280,Bill No. 14,Steel,5,235-270,35,16992,83-87,24-09-25
RCC RW (0-280) (mid),280,Bill No. 15,Steel,5,270-280,10,17001,36-41,01-11-25
RCC RW (125-225),100,Bill No. 14,Steel,6.9,164-200,36,16992,88-93,27-09-25
RCC RW (225-500),275,Bill No. 13,Steel,7.8,250-380,130,16992,75-79,30-08-25
RCC RW (225-500),275,Bill No. 12,Steel,7.8,380-400,20,16992,67-74,13-08-25
RCC RW (225-500),275,Bill No. 11,Steel,7.8,400-480,80,16992,56-61,01-07-25
RCC RW (225-500),275,Bill No. 11,Steel,7.8,484-500,16,16992,56-61,01-07-25
RCC RW (500-1000),500,Bill No. 10,Steel,7.8,500-603,103,17001,19-23,30-05-25
RCC RW (500-1000),500,Bill No. 09,Steel,7.8,603-639,36,16992,41-47,30-04-25
RCC RW (500-1000),500,Bill No. 15,Steel,7.8,639-651,12,17001,36-41,01-11-25
RCC RW (500-1000),500,Bill No. 08,Steel,7.8,651-699,48,16990,11-18,04-04-25
RCC RW (500-1000),500,Bill No. 07,Steel,7.8,699-794,95,16992,33-40,17-03-25
RCC RW (500-1000),500,Bill No. 06,Steel,7.8,794-818,24,17001,1-10,02-03-25
RCC RW (500-1000),500,Bill No. 09,Steel,7.8,818-914,96,16992,41-47,30-04-25
RCC RW (500-1000),500,Bill No. 10,Steel,7.8,914-950,36,17001,19-23,30-05-25
RCC RW (500-1000),500,Bill No. 10,Steel,8.4,950-962,12,17001,24-35,05-06-25
RCC RW (500-1000),500,Bill No. 10,Steel,10,962-969,7,17001,24-35,05-06-25
RCC RW (500-1000),500,Bill No. 10,Steel,10,973-1000,27,17001,24-35,05-06-25
RCC RW (1000-1500),500,Bill No. 10,Steel,10,1000-1022,22,17001,24-35,05-06-25
RCC RW (1000-1500),500,Bill No. 11,Steel,10,1022-1150,128,16992,62-64,06-07-25
RCC RW (1000-1500),500,Bill No. 12,Steel,6.9,1158-1174,16,16992,67-74,13-08-25
RCC RW (1000-1500),500,Bill No. 10,Steel,6.9,1174-1239,65,17001,24-35,05-06-25
RCC RW (1000-1500),500,Bill No. 16,Steel,,1239-1250,11,16992,94-98,03-12-25
RCC RW (1000-1500),500,Bill No. 14,Steel,6.9,1250-1284,34,16992,88-93,27-09-25
RCC RW (1000-1500),500,Bill No. 13,Steel,6.9,1284-1404,120,16992,75-79,30-08-25
RCC RW (1000-1500),500,Bill No. 14,Steel,6.9,1404-1441,37,16992,88-93,27-09-25
RCC RW (1000-1500),500,Bill No. 10,Steel,6.9,1441-1465,24,17001,24-35,05-06-25
RCC RW (1000-1500),500,Bill No. 06,Steel,6.9,1465-1500,35,17001,1-10,02-03-25
RCC RW (1500-2000),500,Bill No. 06,Steel,6.9,1500-1507,7,17001,1-10,02-03-25
RCC RW (1500-2000),500,Bill No. 05,Steel,6.9,1511-1592,81,16992,22-26,12-02-25
RCC RW (1500-2000),500,Bill No. 05,Steel,6.9,1592-1639,47,16992,27-32,13-02-25
RCC RW (1500-2000),500,Bill No. 04,Steel,6.9,1639-1710,71,16992,1-5,24-01-25
RCC RW (1500-2000),500,Bill No. 04,Steel,6.9,1710-1733,23,16992,1-5,24-01-25
RCC RW (1500-2000),500,Bill No. 03,Steel,5.9,1733-1805,72,16982,15-21,31-12-24
RCC RW (1500-2000),500,Bill No. 07,Steel,5.9,1805-1825,20,16992,33-40,17-03-25
RCC RW (1500-2000),500,Bill No. 07,Steel,7.8,1825-1837,12,16992,33-40,17-03-25
RCC RW (1500-2000),500,Bill No. 07,Steel,8.4,1837-1861,24,16992,33-40,17-03-25
RCC RW (1500-2000),500,Bill No. 06,Steel,8.4,1861-1883,22,16990,11-18,04-04-25
RCC RW (1500-2000),500,Bill No. 09,Steel,8.4,1908-1976,68,16992,48-55,06-05-25
RCC RW (1500-2000),500,Bill No. 09,Steel,7.8,1976-1988,12,16992,41-47,30-04-25
RCC RW (1500-2000),500,Bill No. 06,Steel,6.9,1988-2000,12,16990,11-18,04-04-25
RCC RW  (2000 - 2600),600,Bill No. 04,Steel,5.9,2000-2030,30,16992,6-13,25-01-25
RCC RW  (2000 - 2600),600,Bill No. 03,Steel,5.9,2030-2069,39,16982,15-21,31-12-24
RCC RW  (2000 - 2600),600,Bill No. 03,Steel,5.9,2074-2150,76,16982,15-21,31-12-24
RCC RW  (2000 - 2600),600,Bill No. 02,Steel,5.9,2150-2186,36,16984,1-3,22-11-24
RCC RW  (2000 - 2600),600,Bill No. 02,Steel,5.9,2186-2221,35,16984,1-3,22-11-24
RCC RW  (2000 - 2600),600,Bill No. 03,Steel,5.9,2221-2246,25,16982,22-29,03-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Steel,5.9,2246-2281,35,16992,6-13,25-01-25
RCC RW  (2000 - 2600),600,Bill No. 05,Steel,5.9,2281-2293,12,16992,27-32,13-02-25
RCC RW  (2000 - 2600),600,Bill No. 12,Steel,5.9,2293-2335,42,16992,67-74,13-08-25
RCC RW  (2000 - 2600),600,Bill No. 02,Steel,5.9,2335-2370,35,16984,3-5,22-11-24
RCC RW  (2000 - 2600),600,Bill No. 02,Steel,5.9,2370-2405,35,16984,3-5,22-11-24
RCC RW  (2000 - 2600),600,Bill No. 02,Steel,5.9,2405-2417,12,16984,3-5,22-11-24
RCC RW  (2000 - 2600),600,Bill No. 03,Steel,5.9,2417-2496,79,16982,22-29,03-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Steel,5.9,2496-2500,4,16992,6-13,25-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Steel,6.9,2500-2531,31,16992,6-13,25-01-25
RCC RW  (2000 - 2600),600,Bill No. 06,Steel,6.9,2531-2547,16,17001,1-10,02-03-25
RCC RW  (2000 - 2600),600,Bill No. 05,Steel,6.9,2547-2571,24,16992,27-32,13-02-25
RCC RW  (2000 - 2600),600,Bill No. 06,Steel,6.9,2571-2600,29,17001,1-10,02-03-25
RCC RW (2600-3000),400,Bill No. 09,Steel,6.9,2600-2650,50,16992,48-55,06-05-25
RCC RW (2600-3000),400,,No wall,,2650-3000,350,,,
RCC RW (3000 -3600),600,,No wall,,3000-3125,125,,,
RCC RW (3000 -3600),600,Bill No. 15,Steel,5.9,3125-3135,10,17001,36-41,01-11-25
RCC RW (3000 -3600),600,Bill No. 12,Steel,5.9,3135-3150,15,16992,67-74,13-08-25
RCC RW (3000 -3600),600,Bill No. 02,Steel,5.9,3150-3220,70,16984,6--8,11-12-24
RCC RW (3000 -3600),600,Bill No. 03,Steel,5.9,3220-3236,16,16982,22-29,03-01-25
RCC RW (3000 -3600),600,Bill No. 03,Steel,5.9,3240-3251,11,16982,22-29,03-01-25
RCC RW (3000 -3600),600,Bill No. 02,Steel,5.9,3251-3275,24,16984,8-10,11-12-24
RCC RW (3000 -3600),600,Bill No. 02,Steel,5.9,3275-3450,175,16984,8-10,11-12-24
RCC RW (3000 -3600),600,Bill No. 02,Steel,5.9,3450-3474,24,16984,8-10,11-12-24
RCC RW (3000 -3600),600,Bill No. 03,Steel,5.9,3474-3615,141,16982,30-39,07-01-25
RCC RW (3600-4000),400,Bill No. 0,Steel,5.9,3600-3615,15,16982,30-39,07-01-25
RCC RW (3600-4000),400,Bill No. 04,Steel,5.9,3615-3626,11,16992,14-18,27-01-25
RCC RW (3600-4000),400,Bill No. 03,Steel,5.9,3626-3683,57,16982,30-39,07-01-25
RCC RW (3600-4000),400,Bill No. 04,Steel,5.9,3683-3778,95,16992,14-18,27-01-25
RCC RW (3600-4000),400,Bill No. 09,Steel,5.9,3778-3790,12,16992,48-55,06-05-25
RCC RW (3600-4000),400,Bill No. 11,Steel,5.9,3790-3828,38,16992,56-61,01-07-25
RCC RW (3600-4000),400,Bill No. 09,Steel,5.9,3828-3840,12,16992,48-55,06-05-25
RCC RW (3600-4000),400,Bill No. 04,Steel,5.9,3840-3958,118,16992,19-21,29-01-25
RCC RW (3600-4000),400,Bill No. 05,Steel,5.9,3958-3969,11,16992,22-26,12-02-25
RCC RW (3600-4000),400,Bill No. 06,Steel,5.9,3969-3993,24,16990,11-18,04-04-25
RCC RW (4000-4675),675,Bill No. 08,Steel,5.9,4014-4026,12,16982,66-73,03-04-25
RCC RW (4000-4675),675,Bill No. 06,Steel,6.9,4026-4050,24,16984,22-31,05-03-25
RCC RW (4000-4675),675,Bill No. 05,Steel,6.9,4050-4086,36,16982,45-51,13-02-00
RCC RW (4000-4675),675,Bill No. 08,Steel,6.9,4086-4156,70,16982,66-73,03-04-25
RCC RW (4000-4675),675,Bill No. 09,Steel,7.8,4156-4226,70,16984,40-49,26-04-25
RCC RW (4000-4675),675,Bill No. 10,Steel,7.8,4226-4238,12,16982,74-84,30-05-25
